Time,x,y,z,Speedbreaker,Pothole
72.611,1.61,-0.3,8.35,0,0
72.683,2.56,0.08,9.62,0,0
72.748,2.41,1.04,9.7,0,0
72.813,0.95,2.34,8.58,0,0
72.878,3.11,2.6,8.01,0,0
72.941,3.41,2.72,8.88,0,0
73.002,1.57,2.37,7.63,0,0
73.066,0.57,0.99,9.38,0,0
73.137,0.23,0.8,8.81,0,0
73.208,-0.38,-0.08,9.04,0,0
73.271,-0.89,-1.27,8.85,0,0
73.341,0.15,-0.5,10.34,0,0
73.411,0.04,0.15,10.38,0,0
73.479,0.19,1.27,9.11,0,0
73.542,-0.19,2.03,9.43,0,0
73.611,3.06,1.18,9.49,0,0
73.681,1.46,2.87,8.62,0,0
73.771,0.61,2.98,6.66,0,0
73.843,2.6,2.37,8.16,0,0
73.909,2.75,2.03,8.05,0,0
73.973,1.99,6.05,7.59,0,0
74.041,2.45,2.37,8.73,0,0
74.111,1.5,3.57,9.43,0,0
74.181,0.53,2.03,8.16,0,0
74.251,1.95,2.72,9.11,0,0
74.323,1.04,2.68,9.34,0,0
74.387,1.18,3.45,8.43,0,0
74.452,-0.19,3.64,8.47,0,0
74.521,-0.95,4.02,8.58,0,0
74.583,-0.84,3.95,8.35,0,0
74.651,-0.23,4.56,7.97,0,0
74.721,0.84,4.29,8.92,0,0
74.788,0.34,3.91,8.77,0,0
74.853,0.08,3.49,8.08,0,0
74.921,0.53,3.11,7.59,0,0
74.983,0.76,4.21,8.2,0,0
75.052,0.11,4.79,9.23,0,0
75.126,0.04,4.1,8.16,0,0
75.191,-0.19,3.57,8.43,0,0
75.253,-0.23,3.41,9.66,0,0
75.318,0.42,3.72,8.35,0,0
75.381,-0.15,4.14,7.44,0,0
75.443,-1.04,4.02,8.5,0,0
75.511,-0.23,3.87,7.93,0,0
75.572,0.65,3.68,8.92,0,0
75.632,1.23,3.26,8.62,0,0
75.694,1.61,3.02,8.5,0,0
75.762,1.92,2.56,9.19,0,0
75.831,2.41,2.3,8.47,0,0
75.901,2.07,3.21,8.5,0,0
75.971,1.12,3.83,8.2,0,0
76.048,-0.15,4.29,8.73,0,0
76.111,-0.65,3.83,8.47,0,0
76.181,-0.42,3.06,8.47,0,0
76.253,0.8,2.72,8.43,0,0
76.318,2.53,2.76,8.77,0,0
76.382,2.49,3.64,9,0,0
76.451,1.33,3.76,8.31,0,0
76.521,0.89,3.83,7.01,0,0
76.591,0.57,4.18,8.05,0,0
76.656,-0.08,3.6,8.54,0,0
76.721,-0.08,3.06,8.31,0,0
76.79,1.65,3.26,8.47,0,0
76.854,2.91,3.64,8.77,0,0
76.921,2.41,3.95,8.5,0,0
76.985,1.33,3.57,8.24,0,0
77.051,1.12,3.41,8.5,0,0
77.121,1.38,3.68,8.24,0,0
77.191,1.38,3.57,8.35,0,0
77.261,1.84,3.11,8.35,0,0
77.333,1.69,3.49,7.86,0,0
77.398,0.95,3.91,8.73,0,0
77.463,0.57,3.64,7.65,0,0
77.531,1.92,3.26,7.65,0,0
77.601,2.37,3.68,8.39,0,0
77.671,1.04,3.6,8.73,0,0
77.734,0.95,3.45,8.27,0,0
77.797,2.53,3.72,8.08,0,0
77.858,2.41,3.99,8.31,0,0
77.922,1.33,3.72,8.01,0,0
77.987,1.12,3.41,8.54,0,0
