time,x-axis,y-axis,z-axis,Speedbreaker,Pothole
1007.451 , 2.68 , 0.6900000000000001 , 7.78,0,0
1007.529 , 2.45 , 0.8 , 9.53,0,0
1007.594 , 2.56 , 1.08 , 8.120000000000001,0,0
1007.6560000000001 , 2.91 , 1.08 , 9.77,0,0
1007.719 , 3.21 , 0.89 , 8.120000000000001,0,0
1007.7810000000001 , 3.06 , 1.1400000000000001 , 8.92,0,0
1007.849 , 1.92 , 1.08 , 8.620000000000001,0,0
1007.929 , 2.68 , 2.18 , 8.73,0,0
1007.996 , 3.36 , 1.69 , 8.77,0,0
1008.061 , 3.5700000000000003 , 1.12 , 9.47,0,0
1008.125 , 3.34 , 1.73 , 7.82,0,0
1008.192 , 3.6 , 1.8800000000000001 , 8.540000000000001,0,0
1008.261 , 2.96 , 1.54 , 8.35,0,0
1008.3290000000001 , 3.41 , 1.3800000000000001 , 9.66,0,0
1008.392 , 3.49 , 1.18 , 9.66,0,0
1008.461 , 3.41 , 1.33 , 10.34,0,0
1008.525 , 3.34 , 1.61 , 8.2,0,0
1008.591 , 3.6 , 1.61 , 9.15,0,0
1008.654 , 3.7600000000000002 , 2.11 , 8.73,0,0
1008.717 , 4.0600000000000005 , 2.22 , 8.73,0,0
1008.7810000000001 , 3.98 , 1.12 , 7.63,0,0
1008.849 , 3.2600000000000002 , 0.61 , 7.4,0,0
1008.913 , 2.83 , 0.89 , 7.7,0,0
1008.98 , 2.56 , 1.6500000000000001 , 7.86,0,0
1009.047 , 2.79 , 1.08 , 8.85,0,0
1009.111 , 3.7600000000000002 , 1.12 , 8.27,0,0
1009.179 , 3.21 , 1.54 , 9.49,0,0
1009.241 , 2.5300000000000002 , 1.99 , 9.23,0,0
1009.309 , 1.61 , 2.34 , 8.92,0,0
1009.3720000000001 , 1.18 , 2.37 , 9.040000000000001,0,0
1009.441 , 0.42 , 2.5300000000000002 , 8.81,0,0
1009.509 , 0.42 , 2.64 , 8.73,0,0
1009.571 , 0.9500000000000001 , 2.5300000000000002 , 8.77,0,0
1009.633 , 0.8 , 2.34 , 8.540000000000001,0,0
1009.701 , 0.42 , 2.68 , 8.81,0,0
1009.77 , 0.5700000000000001 , 2.45 , 8.27,0,0
1009.831 , 0.53 , 1.84 , 8.81,0,0
1009.9010000000001 , 0.8 , 1.8 , 8.31,0,0
1009.971 , 0.72 , 2.07 , 9.08,0,0
1010.032 , 0.15 , 1.84 , 7.65,0,0
1010.1 , 0.08 , 1.8 , 9.08,0,0
1010.163 , -0.15 , 2.3000000000000003 , 8.85,0,0
1010.226 , -0.08 , 2.37 , 8.69,0,0
1010.291 , 0.04 , 2.07 , 9.19,0,0
1010.359 , 0.38 , 2.18 , 9.58,0,0
1010.422 , 0.72 , 2.0300000000000002 , 9.040000000000001,0,0
1010.49 , 0.42 , 1.99 , 9.11,0,0
1010.5550000000001 , 0.23 , 2.64 , 9.0,0,0
1010.621 , 0.15 , 2.41 , 8.5,0,0
1010.684 , 0.9500000000000001 , 1.6500000000000001 , 8.39,0,0
1010.7470000000001 , 0.19 , 1.6500000000000001 , 9.15,0,0
1010.811 , 0.19 , 2.2600000000000002 , 9.08,0,0
1010.881 , -0.31 , 2.3000000000000003 , 8.81,0,0
1010.9490000000001 , 0.38 , 1.6500000000000001 , 8.540000000000001,0,0
1011.013 , 0.5 , 1.8800000000000001 , 9.58,0,0
1011.082 , 0.0 , 2.37 , 8.73,0,0
1011.15 , -0.15 , 1.84 , 9.34,0,0
1011.2180000000001 , 0.23 , 2.34 , 8.43,0,0
1011.2810000000001 , 0.34 , 1.95 , 9.040000000000001,0,0
1011.349 , 0.27 , 1.6500000000000001 , 8.43,0,0
1011.412 , -0.34 , 1.76 , 8.81,0,0
1011.482 , -0.31 , 2.3000000000000003 , 8.96,0,0
1011.5600000000001 , 0.23 , 1.92 , 9.47,0,0
1011.621 , 0.11 , 1.76 , 9.38,0,0
1011.687 , 0.15 , 1.95 , 8.05,0,0
1011.751 , -0.04 , 2.0300000000000002 , 9.58,0,0
1011.821 , -0.15 , 2.5300000000000002 , 9.28,0,0
1011.889 , 0.15 , 1.54 , 9.3,0,0
1011.951 , 0.38 , 1.31 , 8.35,0,0
1012.0210000000001 , 0.04 , 1.8 , 9.43,0,0
1012.089 , -0.19 , 2.22 , 8.620000000000001,0,0
1012.152 , -0.34 , 1.6500000000000001 , 9.47,0,0
1012.22 , 0.19 , 1.8800000000000001 , 8.77,0,0
1012.288 , 0.08 , 1.57 , 9.28,0,0
1012.351 , 0.0 , 1.6500000000000001 , 9.08,0,0
1012.4200000000001 , -0.31 , 1.57 , 9.040000000000001,0,0
1012.496 , -0.04 , 1.18 , 8.69,0,0
1012.563 , -0.23 , 1.6500000000000001 , 9.23,0,0
1012.64 , -0.27 , 1.31 , 8.73,0,0
1012.701 , -0.31 , 1.1400000000000001 , 9.43,0,0
1012.765 , -0.19 , 1.5 , 9.15,0,0
1012.832 , -0.11 , 1.3800000000000001 , 8.69,0,0
1012.9 , -0.04 , 1.23 , 9.040000000000001,0,0
1012.966 , -0.27 , 1.46 , 9.620000000000001,0,0
1013.032 , -0.04 , 1.42 , 8.81,0,0
1013.095 , 0.08 , 0.99 , 8.96,0,0
1013.159 , -0.11 , 1.04 , 9.38,0,0
1013.221 , -0.38 , 1.08 , 9.47,0,0
1013.289 , -0.38 , 0.9500000000000001 , 9.28,0,0
1013.352 , -0.19 , 0.93 , 10.0,0,0
1013.4200000000001 , 0.11 , 1.3800000000000001 , 7.86,0,0
1013.488 , 0.23 , 1.23 , 9.49,0,0
1013.551 , 0.0 , 1.1400000000000001 , 9.3,0,0
1013.619 , 0.0 , 1.04 , 9.38,0,0
1013.681 , 0.04 , 0.9500000000000001 , 9.15,0,0
1013.749 , -0.42 , 0.72 , 8.66,0,0
1013.812 , -0.27 , 0.72 , 9.81,0,0
1013.88 , -0.5 , 0.76 , 9.19,0,0
1013.948 , -0.31 , 0.72 , 8.5,0,0
1014.011 , -0.42 , 0.5 , 9.19,0,0
1014.0740000000001 , -0.65 , 0.15 , 9.92,0,0
1014.1370000000001 , -0.93 , -0.42 , 9.77,0,0
1014.201 , -0.93 , -0.5 , 10.0,0,0
1014.2710000000001 , -1.1400000000000001 , -0.08 , 9.08,0,0
1014.339 , -1.18 , 0.08 , 9.34,0,0
1014.402 , -1.3800000000000001 , 0.04 , 9.92,0,0
1014.47 , -0.8 , 0.19 , 9.08,0,0
1014.539 , -0.27 , -0.11 , 9.700000000000001,0,0
1014.62 , -0.27 , -0.11 , 9.040000000000001,0,0
1014.695 , -1.04 , -0.15 , 9.77,0,0
