time,x-axis,y-axis,z-axis,Event1,Event2
907.826 , 4.5200000000000005 , 1.9100000000000001 , 8.040000000000001,0,0
907.89 , 4.71 , 2.22 , 8.31,0,0
907.953 , 4.79 , 3.14 , 7.3500000000000005,0,0
908.016 , 5.05 , 3.52 , 7.92,0,0
908.08 , 5.17 , 3.56 , 7.66,0,0
908.143 , 5.67 , 3.41 , 7.5,0,0
908.207 , 6.28 , 3.18 , 7.8500000000000005,0,0
908.27 , 6.16 , 3.22 , 7.12,0,0
908.3340000000001 , 6.28 , 3.1 , 7.12,0,0
908.397 , 6.62 , 3.22 , 7.390000000000001,0,0
908.46 , 5.97 , 2.83 , 6.74,0,0
908.524 , 5.82 , 2.49 , 7.8500000000000005,0,0
908.591 , 6.09 , 2.64 , 8.88,0,0
908.6560000000001 , 5.44 , 2.95 , 6.47,0,0
908.719 , 6.24 , 3.02 , 8.0,0,0
908.782 , 5.59 , 3.02 , 7.12,0,0
908.8480000000001 , 5.24 , 2.45 , 7.390000000000001,0,0
908.9110000000001 , 5.93 , 2.68 , 7.24,0,0
908.9730000000001 , 5.44 , 3.06 , 7.96,0,0
909.0360000000001 , 5.86 , 2.7600000000000002 , 8.38,0,0
909.0980000000001 , 5.55 , 1.99 , 7.8100000000000005,0,0
909.1610000000001 , 5.63 , 1.8 , 8.27,0,0
909.2230000000001 , 5.17 , 1.68 , 7.2,0,0
909.285 , 5.17 , 1.57 , 8.73,0,0
909.3480000000001 , 5.09 , 2.18 , 7.7700000000000005,0,0
909.4110000000001 , 4.82 , 1.68 , 7.7700000000000005,0,0
909.474 , 5.32 , 1.68 , 8.540000000000001,0,0
909.538 , 4.75 , 1.9100000000000001 , 8.040000000000001,0,0
909.601 , 5.01 , 1.42 , 7.7700000000000005,0,0
909.664 , 5.05 , 1.68 , 8.120000000000001,0,0
909.7280000000001 , 5.05 , 1.6500000000000001 , 8.19,0,0
909.791 , 5.24 , 1.11 , 8.31,0,0
909.855 , 4.9 , 1.45 , 7.8500000000000005,0,0
909.918 , 5.21 , 1.76 , 8.5,0,0
909.981 , 4.94 , 1.76 , 8.46,0,0
910.047 , 4.94 , 1.34 , 7.7700000000000005,0,0
910.11 , 5.09 , 1.34 , 8.38,0,0
910.174 , 5.05 , 1.45 , 8.31,0,0
910.238 , 5.44 , 1.49 , 8.27,0,0
910.301 , 5.13 , 1.49 , 7.73,0,0
910.364 , 5.44 , 1.19 , 8.69,0,0
910.428 , 5.17 , 1.07 , 8.5,0,0
910.491 , 4.86 , 0.92 , 8.040000000000001,0,0
910.554 , 5.09 , 1.34 , 8.65,0,0
910.6170000000001 , 4.63 , 1.34 , 7.8100000000000005,0,0
